DataSet,Order,Family,Genus,Species,Lat,Long,NumObs,NumPreyTypes,rare_NT,NetSpec,yInt,MF,rare_MF,sp50,Gini,SE,rare_SE,Mass,ID_MF,MMF,MSP,MLP,MassRange,RichBirds,RichMamms,RichStrigB,RichStrigNB,RichAccB,RichAccNB,NumHabs,RangeSize,fBirds,fMamms,fIns,funidBird,funidMamm,MOS,SD,Season,Temp,Seasonality,AnnPrecip,PrecipSeason,Biome,EqSplit,FairProp,efficiency,MainDiet,Climate_PCA1,Diversity_PCA1
1744,Strigiformes,Strigidae,Asio,Asio flammeus,50.0701700931971,-97.7367191618187,254,1,1,NaN,NaN,1,1,1,0,-0,-0,5.77644416335079,Species,3.60413822565885,3.60413822565885,3.60413822565885,0,194,58,9,7,9,4,0,39874062.36,0,1,0,0,0,NaN,NaN,Breeding,3.02870869636536,13.5175619125366,0.0189043879508972,51.2704200744629,8,25.7863953228912,24.660558220648,NaN,Mamms,5.4409182872153,14.4862435218789
1745,Strigiformes,Strigidae,Asio,Asio flammeus,50.1345742693653,-97.3280368665765,102,1,1,NaN,NaN,1,1,1,0,-0,-0,5.77644416335079,Species,3.60413822565885,3.60413822565885,3.60413822565885,0,194,58,9,7,9,4,0,39874062.36,0,1,0,0,0,NaN,NaN,Breeding,2.76278948783875,13.629903793335,0.0193570163100958,51.9454650878906,8,25.7863953228912,24.660558220648,NaN,Mamms,6.07955442401272,14.4862435218789
1746,Strigiformes,Strigidae,Asio,Asio flammeus,49.7525570701611,-95.2568420277376,48,2,1.81,NaN,NaN,0.916666666666667,1,1,0.512820512820513,0.286835983056161,0.244155790965386,5.77644416335079,Species,3.60413822565885,3.05776766447344,3.60413822565885,15.47,194,58,9,7,9,4,0,39874062.36,0,1,0,0,0,NaN,NaN,Breeding,2.75304841995239,12.7833871841431,0.0231401994824409,49.5960121154785,4,25.7863953228912,24.660558220648,0.411503023853737,Mamms,3.76521453434465,14.4862435218789
1747,Strigiformes,Tytonidae,Tyto,Tyto alba,33.0889268691928,-79.3927095384229,34,6,4.71,0.674798810024845,0.956727861465578,0.5,0.8,1,0.488612836438923,1.37550686813035,1.25132284639935,5.99973029152501,Species,3.98675935154216,3.09828886187908,4.4320065669789,61.94,130,44,4,7,8,7,2,63140525.19,0.264705882352941,0.735294117647059,0,0.0882352941176471,0,NaN,NaN,Breeding,19.2413234710693,5.90373229980469,0.0429125390946865,26.4404888153076,5,59.0468688737535,41.6526692915822,0.807467645528326,Mix,-17.2545513467397,-50.8782910529805
1748,Strigiformes,Strigidae,Athene,Athene cunicularia,-37.95,-65.65,175,11,4.81,0.466093101609524,0.633153396367894,0.359281437125749,0.65,1.44904458598726,0.723076013713205,1.52299097236157,1.32165458165046,5.01469371422376,Species,NaN,2.85070650150373,5.99146454710798,382.7,165,46,4,4,8,8,0,14303129.42,0.00598802395209581,0.263473053892216,0.365269461077844,0,0,NaN,NaN,Breeding,16.0260772705078,6.26072359085083,0.0151490904390812,33.0969314575195,8,27.3470432650474,25.6779754551806,0.84144460126307,Mix,-11.0036675681741,-16.8596451327933
1750,Strigiformes,Strigidae,Athene,Athene cunicularia,-37.95,-65.7,97,13,6.98,0.383617595991432,0.463316371339763,0.299299299299299,0.55,1.74813432835821,0.55201328522224,1.96387199762481,1.66226062481589,5.01469371422376,Species,5.99146454710798,2.70136121295141,6.17378610390194,465.1,165,46,4,4,8,8,1,14303129.42,0,0.597597597597598,0.289289289289289,0,0,14.9,1.22451748953943,Breeding,16.0260772705078,6.26072359085083,0.0151490904390812,33.0969314575195,8,27.3470432650474,25.6779754551806,0.855490878518624,Mix,-11.0036675681741,-16.8596451327933
1751,Strigiformes,Strigidae,Athene,Athene cunicularia,-37.95,-65.7,391,12,4.42,0.906381063741969,1.44097557553367,0.579840319361277,0.8,1,0.77844142245002,1.25192052054086,1.09348242541165,5.01469371422376,Species,NaN,2.70136121295141,5.99146454710798,385.1,165,46,4,4,8,8,1,14303129.42,0.0029940119760479,0.153692614770459,0.592814371257485,0,0,14.9,1.11773091112156,Non-breeding,16.0260772705078,6.26072359085083,0.0151490904390812,33.0969314575195,8,27.3470432650474,25.6779754551806,0.735787105538508,Mix,-11.0036675681741,-16.8596451327933
1752,Strigiformes,Tytonidae,Tyto,Tyto alba,-32.2833,-71.183333,134,11,7.34,0.230266854497522,0.290747097177309,0.208955223880597,0.4,2.63636363636364,0.539451114922813,2.05077493119326,1.8265584594961,5.99973029152501,Species,NaN,3.29583686600433,7.51328362536041,1805.22,150,37,5,5,6,7,0,63140525.19,0.00746268656716418,0.992537313432836,0,0.00746268656716418,0,27,0.271475273610588,Year round,14.3674650192261,3.23556613922119,0.0104218879714608,105.30525970459,12,59.0468688737535,41.6526692915822,0.91633114272204,Mamms,60.635777207106,-33.8830319271421
1753,Strigiformes,Strigidae,Bubo,Bubo bubo,47.416667,16.25,309,37,11.01,0.266934790745295,0.251777298629353,0.207832532051282,0.45,3.51145038167939,0.491127123942284,2.86916392868365,2.18932299296257,7.88927554319062,Species,3.3322045101752,1.50407739677627,8.22684089040858,3735.5,185,85,8,8,14,8,0,31974373.19,0.42978766025641,0.563802083333333,0.00641025641025641,0.0283453525641026,0,771,1.3886937671228,,8.99669361114502,7.47548198699951,0.0277977883815765,33.7747573852539,5,9.36584624684306,12.3170423019029,0.912672747721685,Mix,-11.1346208238042,13.9629946572612
1755,Acciptriformes,Acciptridae,Circaetus,Circaetus gallicus,31.736909003674,34.9490120144273,1013.62,32,9.44,0.284675014890918,0.304695882737591,0.223515715948778,0.45,2.63197026022305,0.673364210029021,2.51376424471379,2.01536126133059,7.43786574895999,Species,NaN,2.78809290877575,8.53699385792618,5083.74,153,84,7,8,9,17,2,12695589.93,0.00291036088474971,0.225844004656577,0.0267753201396973,0.00174621653084983,0,50,1.13732600927633,Breeding,19.2579116821289,5.62048530578613,0.00750219216570258,97.540771484375,12,36.000467291774,31.9665672591003,0.89772863216199,Mix,53.3998781008213,-17.1503951594514
1756,Strigiformes,Tytonidae,Tyto,Tyto alba,38.9062728092582,-90.4122168934111,29,6,4.01,1.60755065240163,3.6094354234593,0.724137931034483,0.95,1,0.508611955420466,0.971428635618493,0.834830882177175,5.99973029152501,Species,3.92750257627653,3.92750257627653,4.6556731681612,54.4,145,56,5,7,9,9,0,63140525.19,0.931034482758621,0.0689655172413793,0,0,0,NaN,NaN,Winter,12.7925596237183,9.89645576477051,0.0326834991574287,20.5126266479492,8,59.0468688737535,41.6526692915822,0.601120497695976,Birds,-23.9544369239355,-32.9873643970444
1757,Acciptriformes,Acciptridae,Buteo,Buteo hemilasius,38.4994583283492,99.9999754514803,31,5,3.69,1.82121843998311,4.67767063638017,0.758620689655172,1,1,0.551937984496124,0.860914271331054,0.774532549317018,7.21442346900615,Species,4.87885474879602,4.87885474879602,8.00636756765025,2868.52,162,76,2,3,10,11,3,5366251.83,0.0689655172413793,0.896551724137931,0,0,0,NaN,NaN,Year round,-3.15477132797241,10.0705518722534,0.0214986260980368,87.7157974243164,10,2.1304055996486,5.26990622457878,0.593226756810953,Mamms,41.0584186000085,-10.9365149873269
1759,Strigiformes,Tytonidae,Tyto,Tyto alba,32.8837809256753,-97.1745076041012,883,8,5.1,0.892672708081158,1.29903614137254,0.54246885617214,0.85,1,0.592089534397227,1.4110962608171,1.24310862110637,5.99973029152501,Species,4.52591050500246,1.60542989103656,7.06714080449303,1167.81,140,57,5,8,4,8,0,63140525.19,0.00453001132502831,0.995469988674972,0,0,0,92.38,1.10139416540972,Year round,18.5035705566406,8.22974395751953,0.0307183768600225,30.9944896697998,8,59.0468688737535,41.6526692915822,0.762998827240185,Mamms,-12.8690577392106,-37.7045495493267
1760,Strigiformes,Strigidae,Bubo,Bubo virginianus,38.6693964390471,-94.1985794667616,6829.017,38,6.31,0.793090826058021,1.00450341633017,0.480831428593603,0.75,1.16363385218483,0.861870760180452,1.79051459602806,1.45669636739486,7.362454896968,Species,7.06714080449303,1.60542989103656,7.69415598041803,2190.5,147,59,5,7,7,9,2,24426738.59,0.0904862295700831,0.872055231375175,0.0183887373541463,0.00953490085029807,0,1172.79,1.61419608926961,Year round,12.9022159576416,9.93268775939941,0.034173708409071,34.0322952270508,8,11.9032995992574,12.9049413304668,0.790764972382778,Mamms,-10.5100719524919,-30.2957850965655
1761,Strigiformes,Strigidae,Strix,Strix varia,38.6693964390471,-94.1985794667616,1195.6,30,8.9,0.219193500715116,0.254157425369372,0.187939110070258,0.45,3.00995024875622,0.771228335221789,2.40078955094192,1.99961496829635,6.56736136261736,Species,3.05258508514677,1.60542989103656,7.69415598041803,2190.5,147,59,5,7,7,9,2,6628563.52,0.166276346604215,0.648711943793911,0.0146370023419204,0.0076112412177986,0,36.75,1.46276841851483,Year round,12.9022159576416,9.93268775939941,0.034173708409071,34.0322952270508,8,12.0568296160332,15.6105863598363,0.914715491614664,Mix,-10.5100719524919,-30.2957850965655
1762,Strigiformes,Strigidae,Megascops,Megascops asio,38.6693964390471,-94.1985794667616,496.934,13,5.36,0.671790051386925,0.918343846227686,0.477234401349072,0.75,1.1046511627907,0.783326171035668,1.5401118630252,1.35592388272388,5.19290129379139,Species,3.60413822565885,1.60542989103656,5.8240217505425,333.35,147,59,5,7,7,9,2,4938942.17,0.0708263069139966,0.924114671163575,0.00168634064080944,0,0,36.75,1.44658123699028,Year round,12.9022159576416,9.93268775939941,0.034173708409071,34.0322952270508,8,13.6882210828294,16.7253935569868,0.807595578491839,Mamms,-10.5100719524919,-30.2957850965655
1763,Strigiformes,Strigidae,Asio,Asio otus,38.6693964390471,-94.1985794667616,243.18,10,5.54,0.463815291872622,0.615346839531344,0.374537379718727,0.65,1.47612359550562,0.702801742307152,1.61227120103619,1.43465701156315,5.69228327826318,Species,3.60413822565885,1.60542989103656,4.52591050500246,87.4,147,59,5,7,7,9,2,27618929.92,0.0532938564026647,0.946706143597335,0,0,0,36.75,1.54378385888961,Year round,12.9022159576416,9.93268775939941,0.034173708409071,34.0322952270508,8,25.7863953228814,24.6605582206381,0.838003282678154,Mamms,-10.5100719524919,-30.2957850965655
1764,Acciptriformes,Acciptridae,Buteo,Buteo jamaicensis,38.6693964390471,-94.1985794667616,723.843,24,7.34,0.317203392472021,0.377466498293589,0.260099220411056,0.65,2.21106557377049,0.749438677431757,2.12364675014445,1.74742629666497,7.00411944859855,Species,3.60413822565885,1.60542989103656,7.69415598041803,2190.5,147,59,5,7,7,9,2,15462822.34,0.0432317505315379,0.772501771793055,0.0290574060949681,0.0134656272147413,0,36.75,1.64327831576733,Year round,12.9022159576416,9.93268775939941,0.034173708409071,34.0322952270508,8,5.74640501915571,7.63884919931425,0.876632842995504,Mix,-10.5100719524919,-30.2957850965655
1765,Acciptriformes,Acciptridae,Aquila,Aquila chrysaetos,31.313611,-107.338472,114,14,4.99,1.77531575294913,4.1346936482618,0.701754385964912,0.95,1,0.531945247734722,1.23982750684977,0.974136596437706,8.35419650074994,Species,NaN,5.21417459843561,7.83336644039298,2339.55,185,101,11,10,11,11,4,39450257.98,0.043859649122807,0.929824561403509,0,0.0087719298245614,0,2422.48,1.19171274883981,Breeding,18.8405532836914,7.98913240432739,0.00664369715377688,62.7195434570312,13,9.67241334246601,12.8779673484401,0.606018933956175,Mamms,18.6962055307087,18.5437963671592
1766,Strigiformes,Tytonidae,Tyto,Tyto alba,41.2095337966288,-101.648161384725,1163,10,5.86,0.351895442163834,0.456324201596417,0.288907996560619,0.55,1.84364261168385,0.64002765295541,1.73329855845511,1.5366855480389,5.99973029152501,Species,3.60413822565885,3.60413822565885,4.10098910494077,23.65,139,61,6,6,7,8,2,63140525.19,0.00945829750644884,0.990541702493551,0,0.00945829750644884,0,NaN,NaN,Breeding,9.50035285949707,9.9858922958374,0.0182609427720308,50.8588714599609,8,59.0468688737535,41.6526692915822,0.869092493598842,Mamms,5.83293749441771,-37.335785774781
1767,Strigiformes,Strigidae,Bubo,Bubo virginianus,39.4713892093232,-118.869376363069,32,5,4.57,0.423052680456738,0.605486142435593,0.375,0.65,1.4,0.353623188405797,1.41654679290313,1.2985886411209,7.362454896968,Species,6.62683694744265,3.59264384623311,6.62683694744265,718.76,194,104,11,9,9,9,2,24426738.59,0.0625,0.9375,0,0,0,NaN,NaN,Breeding,13.7330513000488,9.22681045532227,0.00604477990418673,42.0605125427246,13,11.9032995992574,12.9049413304668,0.854608329120204,Mamms,-2.42406449475096,27.9226167361672
1769,Strigiformes,Strigidae,Bubo,Bubo virginianus,45.928683,-110.341533,240,11,5.11,0.636751355909154,0.879125311244134,0.4625,0.8,1.15,0.690959878110716,1.51900729947417,1.2842865235592,7.362454896968,Species,NaN,2.9871959425317,6.97143405564532,1045.92,195,78,10,9,10,8,3,24426738.59,0,1,0,0,0,201.17,0.797842510961992,,3.16534066200256,9.36646747589111,0.0205845218151808,38.7854843139648,5,11.9032995992574,12.9049413304668,0.787326503577758,Mamms,-6.84535888380816,21.3324503509217
1770,Acciptriformes,Acciptridae,Buteo,Buteo jamaicensis,45.928683,-110.341533,75,9,4.99,0.591591421155221,0.819119452439175,0.44,0.7,1.20454545454546,0.620867208672087,1.46889362181494,1.28530542380099,7.00411944859855,Species,NaN,3.05776766447344,5.30415032174048,179.89,195,78,10,9,10,8,3,15462822.34,0,1,0,0,0,NaN,NaN,,3.16534066200256,9.36646747589111,0.0205845218151808,38.7854843139648,5,5.74640501915571,7.63884919931425,0.799599794924423,Mamms,-6.84535888380816,21.3324503509217
1771,Strigiformes,Strigidae,Bubo,Bubo virginianus,44.511967,-110.816717,263,13,6.39,0.392330030706352,0.495849518774783,0.319391634980989,0.5,1.80508474576271,0.650508642551083,1.81614324660153,1.59637989177297,7.362454896968,Species,NaN,2.9871959425317,6.97143405564532,1045.92,195,78,10,9,10,8,3,24426738.59,0,1,0,0,0,201.17,1.30543421477924,,1.02550232410431,8.72265720367432,0.0297533310949802,20.8766288757324,5,11.9032995992574,12.9049413304668,0.860705449282061,Mamms,-24.8592163889301,21.3324503509217
1772,Acciptriformes,Acciptridae,Buteo,Buteo swainsoni,44.662267,-110.473567,82,4,2.43,1.5979230481003,3.98207531570566,0.804878048780488,1,1,0.733663366336634,0.583987349845257,0.524232752682723,6.85288718154058,Species,NaN,4.8681496457995,4.8681496457995,0,195,78,10,9,10,8,5,4303055.16,0,1,0,0,0,NaN,NaN,,0.976208567619324,8.64897632598877,0.0241518840193748,17.9277076721191,5,5.07442740866145,7.61392140379752,0.590424501133052,Mamms,-27.7928617954026,21.3324503509217
1773,Strigiformes,Strigidae,Asio,Asio flammeus,44.662267,-110.473567,62,2,1.97,NaN,NaN,0.82258064516129,1,1,0.365296803652968,0.467457687146339,0.425729706187694,5.77644416335079,Species,NaN,4.8681496457995,4.8681496457995,0,195,78,10,9,10,8,5,39874062.36,0,1,0,0,0,NaN,NaN,,0.976208567619324,8.64897632598877,0.0241518840193748,17.9277076721191,5,25.7863953228912,24.660558220648,0.627888857033627,Mamms,-27.7928617954026,21.3324503509217
1774,Strigiformes,Strigidae,Asio,Asio otus,44.662267,-110.473567,90,4,2.65,1.78859224650024,4.91558973511987,0.822222222222222,1,1,0.716216216216216,0.592970408546166,0.520815026107745,5.69228327826318,Species,NaN,3.05776766447344,4.8681496457995,108.8,195,78,10,9,10,8,5,27618929.92,0,1,0,0,0,NaN,NaN,,0.976208567619324,8.64897632598877,0.0241518840193748,17.9277076721191,5,25.7863953228814,24.6605582206381,0.534410624791258,Mamms,-27.7928617954026,21.3324503509217
1775,Acciptriformes,Acciptridae,Accipiter,Accipiter gentilis,40.5464398868939,-106.721958597441,1553,35,8.03,0.301862901966662,0.349171966867399,0.257898130238556,0.45,2.4508547008547,0.749260851923082,2.27307827147661,1.84777472335224,6.76393109687218,Species,5.30415032174048,2.9704144655697,7.44426034533474,1690.52,203,95,11,9,10,9,1,31775270.74,0.476466795615732,0.516441005802708,0.00709219858156028,0,0,201.17,1.55706434254438,Breeding,2.68371653556824,9.06259441375732,0.0232616867870092,23.867546081543,5,18.3751277580583,19.064540975675,0.886995222244133,Mix,-21.7133220843748,33.9458764466182
1776,Acciptriformes,Acciptridae,Accipiter,Accipiter cooperii,48.435,-123.366,217,15,6.26,0.434812408695211,0.551437435826912,0.324821246169561,0.55,1.58135593220339,0.672909929332854,1.80281089358236,1.54300901499933,6.06301747219289,Species,3.27752202030093,3.05776766447344,7.51328362536041,1810.94,196,79,11,12,9,7,1,8393137.06,0.872318692543412,0.127681307456588,0,0,0,78.5,1.00352774879222,Breeding,9.82810497283936,3.37912583351135,0.032997589558363,62.8784561157227,5,18.5468790529535,19.2362922705701,0.841252690179457,Birds,17.9768720802935,22.5527498221953
1777,Acciptriformes,Acciptridae,Accipiter,Accipiter cooperii,48.435,-123.366,155,7,3.86,0.520640156391302,0.747401649897203,0.40281973816717,0.8,1.27729885057471,0.699236529144032,1.28792165774664,1.13646493390266,6.06301747219289,Species,4.36309862478836,3.27752202030093,5.9681703313049,364.28,196,79,11,12,9,7,1,8393137.06,0.960725075528701,0.0392749244712991,0,0,0,78.5,0.48819987763055,Breeding,9.82810497283936,3.37912583351135,0.032997589558363,62.8784561157227,5,18.5468790529535,19.2362922705701,0.841410043721723,Birds,17.9768720802935,22.5527498221953
1778,Strigiformes,Strigidae,Bubo,Bubo virginianus,40.28,-112.33,169,12,6.01,0.789395682378926,1.0337328507727,0.49112426035503,0.7,1.0625,0.636217948717949,1.6583907393578,1.41454956875769,7.362454896968,Species,7.79254708779689,3.05776766447344,7.79254708779689,2401.2,187,93,10,8,10,9,2,24426738.59,0.0355029585798817,0.869822485207101,0,0,0,2422.48,1.41950801981521,Breeding,9.373459815979,10.5637989044189,0.0170678179711103,26.3487205505371,13,11.9032995992574,12.9049413304668,0.788742081263036,Mamms,-18.5488623100746,18.0581934613051
