"Species","equal.splits","fair.proportion"
"Circus_cyaneus",7.67419111249132,8.16665024557224
"Circus_macrosceles",11.630987652772,9.50457496288694
"Elanus_axillaris",25.4175373907488,17.0587433788234
"Elanus_caeruleus",26.1091798413096,17.7503858293842
"Elanus_leucurus",25.8254028592003,17.466608847275
"Elanus_scriptus",25.709006760488,17.3502127485626
"Falco_berigora",27.4515218618535,10.3208574531208
"Falco_biarmicus",6.02533880110077,4.32005169003512
"Falco_cenchroides",10.2504452250542,7.3121555088119
"Falco_cherrug",3.6908103415532,4.15109199265356
"Falco_columbarius",29.9836200897056,12.852955680973
"Falco_eleonorae",9.47821757466213,6.61297339066072
"Falco_femoralis",25.1995086085423,8.06884419980964
"Falco_hypoleucos",23.9776661703365,6.84700176160379
"Falco_longipennis",16.7857705122384,7.95414280048471
"Falco_mexicanus",16.3661858617869,7.43326599967068
"Falco_naumanni",19.4957308942276,10.8101942469557
"Falco_novaeseelandiae",26.90068891136,9.77002450262728
"Falco_pelegrinoides",5.58470118236145,4.41808810031668
"Falco_peregrinus",5.58468179048281,4.41806870843804
"Falco_rufigularis",21.1933378299315,4.06267342119887
"Falco_rusticolus",5.73618920899414,4.03090209792848
"Falco_sparverius",29.8933783468285,12.7627139380958
"Falco_subbuteo",9.44366146165633,6.57841727765492
"Falco_subniger",3.70565376458307,4.16593541568344
"Falco_tinnunculus",10.2503981801069,7.31210846386453
"Falco_vespertinus",28.2080944635256,11.0774300547929
"Gampsonyx_swainsonii",52.7599526990111,39.1940144775487
"Geranoaetus_melanoleucus",12.3683745424119,12.2304511603658
"Glaucidium_brasilianum",19.5618340778346,22.2469469613475
"Glaucidium_californicum",19.5618340778509,22.2469469613638
"Glaucidium_passerinum",28.4492472387638,26.7173443791786
"Haliaeetus_albicilla",10.6874715705168,12.9129495408835
"Haliaeetus_leucocephalus",10.6874715705168,12.9129495408835
"Haliaeetus_leucogaster",19.1459446043227,18.849817434397
"Haliastur_sphenurus",18.0084586670635,18.7638988220204
"Hamirostra_melanosternon",38.9962091849804,37.2235789011279
"Harpia_harpyja",32.0604428942977,31.7711760308591
"Hieraaetus_morphnoides",7.9464803825287,10.1808609258024
"Hieraaetus_pennatus",7.94648038253756,10.1808609258112
"Ictinia_mississippiensis",19.2435909923474,18.8216033614074
"Macheiramphus_alcinus",32.065858426822,31.7765915633833
"Megascops_asio",13.6882210828294,16.7253935569868
"Megascops_kennicottii",13.6841360463519,16.7213085205093
"Megascops_sanctaecatarinae",20.8543690629462,17.9085089306047
"Melierax_canorus",32.1970628482939,30.9179368912899
"Milvago_chimango",4.86267593716098,4.86267593716098
"Milvus_migrans",18.0084586670745,18.7638988220314
"Ninox_boobook",37.5702943560346,26.8702900253708
"Ninox_novaeseelandiae",37.5702943560416,26.8702900253779
"Nisaetus_nipalensis",24.2173597468028,23.0835323744986
"Otus_ireneae",33.5765453307019,30.5249587815748
"Otus_scops",33.5765453308355,30.5249587817083
"Pandion_haliaetus",87.7067558042095,62.6800736388586
"Parabuteo_unicinctus",15.4532449801803,15.4638800131709
"Pernis_apivorus",38.9962091848605,37.2235789010081
