Order,Family,Order,Family,AcceptedGenus_COL,AcceptedName_COL,sp_id,X,Y,Year,Density_km
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Hippotragus,Hippotragus equinus,M_234,30.5,-12,1993,2.70E-03
Proboscidea,Elephantidae,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,M_280,21.6,9.1,2005,2.70E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,132.5,43.6,2010,2.70E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,132.5,43.6,2011,2.71E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,132.5,43.6,2011,2.74E-03
Proboscidea,Elephantidae,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,M_280,38.7,-0.2,2002,2.80E-03
Carnivora,Felidae,Carnivora,Felidae,Puma,Puma concolor,M_456,-110.412,43.607,2007,2.80E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,132.5,43.6,2012,2.84E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Alcelaphus,Alcelaphus buselaphus,M_13,37.6,-2.9,2013,2.90E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,78.8,14.83333,2018,2.90E-03
Carnivora,Felidae,Carnivora,Felidae,Puma,Puma concolor,M_456,-110.412,43.607,2010,2.90E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera onca,M_580,-52.75,-18.32,2008,2.90E-03
Carnivora,Mustelidae,Carnivora,Mustelidae,Gulo,Gulo gulo,M_662,-116.204,51.305,2013,2.95E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Hippotragus,Hippotragus equinus,M_234,25.9,-18.5,1995,3.00E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera leo,M_376,20.5,-19.5,1993,3.00E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera pardus,M_377,128.067,41.733,2013,3.00E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,130.74,42.94,2013,3.00E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,132.5,43.6,2009,3.02E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,132.5,43.6,2010,3.03E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Damaliscus,Damaliscus lunatus,M_166,34.41,1.793,1995,3.10E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Damaliscus,Damaliscus lunatus,M_166,34.41,1.793,1995,3.10E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Taurotragus,Taurotragus oryx,M_539,34.41,1.793,1995,3.10E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,132.5,43.6,2012,3.18E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Hippotragus,Hippotragus niger,M_235,34.5,-18.8,1994,3.20E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,77.08,10.2,2010,3.20E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,77.45,11.95,2018,3.20E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Tragelaphus,Tragelaphus strepsiceros,M_564,15.1,-23,1987,3.20E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,130.74,42.94,2013,3.30E-03
Carnivora,Mustelidae,Carnivora,Mustelidae,Gulo,Gulo gulo,M_662,-116.204,51.305,2011,3.30E-03
Proboscidea,Elephantidae,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,M_280,9.2,6.3,1998,3.40E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,101.1667,-0.25833,2006,3.40E-03
Carnivora,Felidae,Carnivora,Felidae,Puma,Puma concolor,M_456,-110.412,43.607,2015,3.40E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Kobus,Kobus ellipsiprymnus,M_252,2.5,12,1991,3.50E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,132.5,43.6,2010,3.53E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,132.5,43.6,2012,3.55E-03
Proboscidea,Elephantidae,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,M_280,30.6,-11.2,1993,3.60E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,96.11667,26.75,2003,3.60E-03
Carnivora,Felidae,Carnivora,Felidae,Puma,Puma concolor,M_456,-110.412,43.607,2016,3.60E-03
Carnivora,Felidae,Carnivora,Felidae,Puma,Puma concolor,M_456,-110.412,43.607,2014,3.60E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Taurotragus,Taurotragus oryx,M_539,20.6,-18.8,1988,3.60E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,132.5,43.6,2010,3.61E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,96.76667,26.5,2004,3.70E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,132.5,43.6,2011,3.79E-03
Proboscidea,Elephantidae,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,M_280,13.3,-9.3,2002,3.80E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera pardus,M_377,19.89212,-34.6332,2012,3.80E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Tragelaphus,Tragelaphus imberbis,M_561,37.6,-2.9,2013,3.80E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Tragelaphus,Tragelaphus imberbis,M_561,36.1,-4.14,1994,3.80E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera pardus,M_377,21.5439,-33.679,2011,3.83E-03
Perissodactyla,Rhinocerotidae,Perissodactyla,Rhinocerotidae,Diceros,Diceros bicornis,M_171,35.583,-3.167,2001,4.00E-03
Perissodactyla,Rhinocerotidae,Perissodactyla,Rhinocerotidae,Diceros,Diceros bicornis,M_171,35.583,-3.167,2005,4.00E-03
Perissodactyla,Rhinocerotidae,Perissodactyla,Rhinocerotidae,Diceros,Diceros bicornis,M_171,35.583,-3.167,2005,4.00E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Kobus,Kobus ellipsiprymnus,M_252,35.583,-3.167,2011,4.00E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera pardus,M_377,46.45,38.98333,2003,4.00E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,130.74,42.94,2014,4.00E-03
Carnivora,Felidae,Carnivora,Felidae,Puma,Puma concolor,M_456,-110.412,43.607,2009,4.00E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Taurotragus,Taurotragus oryx,M_539,35.583,-3.167,2002,4.00E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,102.5,-0.23333,2006,4.10E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera pardus,M_377,128.067,41.733,2014,4.20E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Tragelaphus,Tragelaphus scriptus,M_562,31.9,-5.8,1991,4.20E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Tragelaphus,Tragelaphus strepsiceros,M_564,27.7,-15.7,1993,4.20E-03
Carnivora,Felidae,Carnivora,Felidae,Neofelis,Neofelis nebulosa,M_618,95.66,20.41,2014,4.20E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,77.31,8.68,2018,4.30E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Redunca,Redunca redunca,M_467,36.7,-8.4,1994,4.30E-03
Carnivora,Felidae,Carnivora,Felidae,Puma,Puma concolor,M_456,-110.412,43.607,2013,4.40E-03
Proboscidea,Elephantidae,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,M_280,26.8,-33.1,2006,4.50E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,77.375,8.65,2007,4.50E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Tragelaphus,Tragelaphus spekii,M_563,20.4,7.5,1995,4.50E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Hippotragus,Hippotragus equinus,M_234,34.41,1.793,1995,4.60E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,81.73333,22.45833,2018,4.60E-03
Carnivora,Felidae,Carnivora,Felidae,Uncia,Uncia uncia,M_756,73.4,38.2,2012,4.60E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Kobus,Kobus ellipsiprymnus,M_252,18.19,10.43,1995,4.70E-03
Carnivora,Felidae,Carnivora,Felidae,Puma,Puma concolor,M_456,-110.412,43.607,2011,4.70E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Redunca,Redunca redunca,M_467,18.19,10.43,1995,4.70E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Syncerus,Syncerus caffer,M_521,18.19,10.43,1995,4.70E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Tragelaphus,Tragelaphus scriptus,M_562,31.9,-5.8,1991,4.70E-03
Carnivora,Felidae,Carnivora,Felidae,Neofelis,Neofelis nebulosa,M_618,95.66,20.41,2014,4.70E-03
Carnivora,Canidae,Carnivora,Canidae,Canis,Canis lupus,M_90,-148.5,64,1978,4.70E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,86.33333,21.75,2014,4.80E-03
Carnivora,Felidae,Carnivora,Felidae,Puma,Puma concolor,M_456,-110.412,43.607,2012,4.80E-03
Cetartiodactyla,Hippopotamidae,Cetartiodactyla,Hippopotamidae,Hippopotamus,Hippopotamus amphibius,M_233,37.6,-2.9,2010,4.90E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,80.075,21.275,2018,4.90E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera onca,M_580,-54.4,-25.7,2004,4.90E-03
Carnivora,Felidae,Carnivora,Felidae,Uncia,Uncia uncia,M_756,32,77.8,2011,4.90E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Alcelaphus,Alcelaphus caama,M_14,22,-20,1994,5.00E-03
Carnivora,Canidae,Carnivora,Canidae,Lycaon,Lycaon pictus,M_281,35,-3,1977,5.00E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera pardus,M_377,20.05304,-33.8345,2012,5.00E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,103.4417,20.33333,2004,5.00E-03
Cetartiodactyla,Cervidae,Cetartiodactyla,Cervidae,Rangifer,Rangifer tarandus,M_457,-98,76.4,1999,5.00E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Taurotragus,Taurotragus derbianus,M_538,-8,12.6,1997,5.00E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Kobus,Kobus kob,M_253,32.7,0.3,1995,5.10E-03
