DataSet,RaptorScientificName,Continent,Num_obs,PreyPerPellet,ecozone,ShannEnt_rare,DietRichness_rare,LocalRichness,RERichness,RaptorRichness
3182,Tyto alba,Europe,111,2.58,BA,1.7602530295965138,8.455,60.0,24.0,21.0
3190,Tyto alba,Asia,68,,DA,1.2412690617008961,5.38,84.0,21.0,34.0
3191,Tyto alba,Asia,39,,DA,1.5405077301051353,8.115,84.0,21.0,34.0
3194,Tyto alba,South America,16,,AA,-0.0,1.0,1.0,0.0,0.0
3195,Tyto alba,South America,179,,BA,1.039387240682683,4.315,58.0,22.0,23.0
3196,Tyto alba,South America,210,,BA,0.593208595261936,3.19,58.0,22.0,23.0
3197,Tyto alba,South America,594,,BA,0.91468439885991,4.135,35.0,12.0,17.0
3198,Tyto alba,South America,491,,BA,1.0919534301736227,3.375,35.0,12.0,17.0
3199,Tyto alba,South America,364,,BA,0.8609755974375077,3.96,37.0,16.0,13.0
3200,Tyto alba,South America,310,,BA,1.2566430033495686,5.195,29.0,13.0,12.0
3201,Tyto alba,South America,330,,BA,0.9941202601075845,4.67,37.0,16.0,13.0
3202,Tyto alba,South America,192,,BA,1.3252148016249239,5.92,50.0,20.0,19.0
3203,Tyto alba,South America,584,,NA,1.1384082994883404,5.295,50.0,20.0,19.0
3431,Tyto alba,South America,314,,DA,1.0424539820244945,5.87,7.0,5.0,3.0
3432,Tyto alba,South America,76,,DA,1.0849405330900987,5.555,7.0,5.0,3.0
3433,Tyto alba,Australia/Oceania,952,3.46,BA,0.16649192521214343,2.415,53.0,5.0,23.0
3441,Tyto alba,Asia,3530,1.24,DB,0.46162957021913553,4.17,187.0,50.0,27.0
3443,Tyto alba,Africa,6,,BA,1.2945609067098627,4.0,123.0,42.0,35.0
3444,Tyto alba,Africa,50,,BA,0.6762103654540087,3.295,123.0,42.0,35.0
3445,Tyto alba,Africa,108,,BA,0.978803839248525,4.285,123.0,42.0,35.0
3446,Tyto alba,Africa,49,,BA,1.696003238847235,8.7,123.0,42.0,35.0
3447,Tyto alba,Africa,7,,BA,1.4319555711266532,5.0,123.0,42.0,35.0
3448,Tyto alba,Africa,21,,BA,1.3616758070373196,4.985,123.0,42.0,35.0
3449,Tyto alba,Africa,49,,BA,1.9329729082933758,8.88,123.0,42.0,35.0
3450,Tyto alba,Africa,11,,BA,1.6201804809139002,5.98,123.0,42.0,35.0
3474,Tyto alba,Europe,18489,,BA,1.8231467269951498,8.625,56.0,21.0,20.0
3475,Tyto alba,South America,136,,BA,1.154392155289688,5.72,43.0,14.0,21.0
3476,Tyto alba,South America,200,,BA,1.2212437894805976,7.24,43.0,14.0,21.0
3477,Tyto alba,South America,187,,BA,1.5668748150556946,7.02,43.0,14.0,21.0
3478,Tyto alba,South America,402,,BA,1.495272062002168,6.88,43.0,14.0,21.0
3479,Tyto alba,South America,225,,BA,2.0213992618010885,11.635,43.0,14.0,21.0
3480,Tyto alba,South America,151,,BA,1.6257935507681294,8.06,43.0,14.0,21.0
3481,Tyto alba,South America,91,,BA,1.5457549515651354,6.49,43.0,14.0,21.0
3482,Tyto alba,South America,263,,BA,1.1421496163271363,3.865,43.0,14.0,21.0
3483,Tyto alba,South America,167,,BA,1.1319477416790649,4.975,43.0,14.0,21.0
3484,Tyto alba,South America,178,,BA,0.9942997479677069,3.94,58.0,22.0,23.0
3485,Tyto alba,South America,421,,BA,1.2595259683152804,5.56,43.0,14.0,21.0
3486,Tyto alba,South America,111,,BA,1.1369597792490413,4.575,43.0,14.0,21.0
3487,Tyto alba,South America,228,,BA,1.0778041521799362,3.195,43.0,14.0,21.0
3488,Tyto alba,South America,561,,BA,0.9953915383361077,3.73,43.0,14.0,21.0
3489,Tyto alba,South America,177,,BA,1.0737236331583098,5.41,62.0,20.0,25.0
3490,Tyto alba,South America,50,,BA,1.2342239732290494,6.51,43.0,14.0,21.0
3491,Tyto alba,South America,424,,BA,1.1728547455974263,4.585,43.0,14.0,21.0
3492,Tyto alba,South America,142,,BA,1.292085275416899,6.205,43.0,14.0,21.0
3493,Tyto alba,South America,157,,BA,1.8931899666386116,10.095,43.0,14.0,21.0
3494,Tyto alba,South America,112,,BA,1.3297015533779515,5.48,43.0,14.0,21.0
3495,Tyto alba,South America,112,,BA,1.0624106466623855,3.635,43.0,14.0,21.0
3496,Tyto alba,South America,216,,BA,1.6263767313166082,6.79,43.0,14.0,21.0
3497,Tyto alba,South America,156,,BA,1.087514809111143,4.555,43.0,14.0,21.0
3498,Tyto alba,South America,284,,BA,0.8399697572491945,3.81,43.0,14.0,21.0
