DataSet,RaptorScientificName,Continent,Num_obs,PreyPerPellet,ecozone,ShannEnt_rare,DietRichness_rare,LocalRichness,RERichness,RaptorRichness
1165,Tyto alba,North America,1389,,BA,0.7901253606139887,4.205,53.0,25.0,16.0
1174,Tyto alba,North America,58889,1.2,BC,1.7409329849088941,7.78,62.0,31.0,14.0
1176,Tyto alba,North America,234,,BC,1.7968959273139677,7.3,57.0,31.0,13.0
1182,Tyto alba,South America,194,1.28,BB,1.4660849638307067,5.945,36.0,13.0,17.0
1187,Tyto alba,South America,729,,BB,1.635557148422328,6.5,36.0,13.0,17.0
1194,Tyto alba,South America,346,1.05,CA,1.1417605154483,4.655,36.0,18.0,7.0
1205,Tyto alba,North America,23,1.53,BC,0.8883690761653117,3.465,60.0,29.0,14.0
1230,Tyto alba,North America,350,2.61,BA,1.7114883743342575,6.855,51.0,24.0,13.0
1231,Tyto alba,North America,45,4.09,BA,1.369752681234069,5.26,51.0,24.0,13.0
1236,Tyto alba,North America,543,,BA,0.9701251585425306,4.05,46.0,22.0,15.0
1242,Tyto alba,North America,3518,5.66,BB,1.220125282756654,4.81,87.0,41.0,26.0
1270,Tyto alba,Europe,53,,BA,1.7320329542899222,7.475,67.0,26.0,21.0
1271,Tyto alba,Europe,653,,B,1.627379757319311,7.07,60.0,24.0,21.0
1273,Tyto alba,South America,136,3.46,DA,1.3354207614490088,6.175,140.0,26.0,44.0
1274,Tyto alba,South America,156,3.46,DA,0.590809973023944,3.605,140.0,26.0,44.0
1275,Tyto alba,South America,328,3.46,DA,0.9638218320647082,5.105,140.0,26.0,44.0
1276,Tyto alba,South America,121,3.46,DA,0.9760020711117376,4.78,140.0,26.0,44.0
1283,Tyto alba,North America,234,2.17,BA,1.5927029563747228,6.195,41.0,16.0,14.0
1284,Tyto alba,North America,125,1.5,BA,1.1293849936866713,4.105,41.0,16.0,14.0
1285,Tyto alba,North America,987,,BC,1.5609341031970263,6.075,95.0,49.0,24.0
1286,Tyto alba,North America,141,,BC,1.1396879347656979,4.24,95.0,49.0,24.0
1287,Tyto alba,North America,582,,BC,1.3101538541045008,5.29,95.0,49.0,24.0
1288,Tyto alba,North America,201,,BC,1.2823825280680083,4.575,95.0,49.0,24.0
1289,Tyto alba,North America,293,,BC,1.3345989880171618,4.63,95.0,49.0,24.0
1290,Tyto alba,North America,116,,BC,1.3495330716431142,5.62,95.0,49.0,24.0
1291,Tyto alba,North America,227,,BC,0.9225984219372624,3.305,95.0,49.0,24.0
1292,Tyto alba,North America,600,,BC,1.2467900042376663,4.605,95.0,49.0,24.0
1293,Tyto alba,North America,274,,BC,1.2462696701177551,4.835,95.0,49.0,24.0
1294,Tyto alba,North America,373,,BC,1.1428892296177993,4.505,95.0,49.0,24.0
1315,Tyto alba,North America,357,,BC,1.4513682455061965,5.755,88.0,47.0,23.0
1316,Tyto alba,North America,330,,BC,1.585638387433046,6.74,88.0,47.0,23.0
1317,Tyto alba,North America,679,,BC,1.6337646094453044,6.7,88.0,47.0,23.0
1318,Tyto alba,North America,702,,BC,1.6511032879529939,6.835,88.0,47.0,23.0
